name,name_zh,name_json,source,layer,lat,lon
SIXTH AVENUE MRT STATION (DT7),第六道地铁,"[""DT7"", ""Sixth Avenue MRT""]",onemap,venue,1.33085764536226,103.796906838288
TAN KAH KEE MRT STATION (DT8),陈嘉庚地铁,"[""DT8"", ""Tan Kah Kee MRT""]",onemap,venue,1.32555623519898,103.807760304729
BOTANIC GARDENS MRT STATION,植物园地铁,"[""DT9"", ""Botanic Gardens MRT""]",onemap,venue,1.32238699517166,103.815385463093
STEVENS MRT STATION (DT10),史蒂芬地铁,"[""DT10"", ""Stevens MRT""]",onemap,venue,1.32006555750626,103.826024401924
NEWTON MRT STATION (NS21),纽顿地铁,"[""DT11"", ""Newton MRT""]",onemap,venue,1.3123189224097,103.837984594021
LITTLE INDIA MRT STATION (NE7),小印度地铁,"[""DT12"", ""Little India MRT""]",onemap,venue,1.30680019696174,103.849647059738
ROCHOR MRT STATION (DT13),梧槽地铁,"[""DT13"", ""Rochor MRT""]",onemap,venue,1.30385218527656,103.852769428884
BUGIS MRT STATION (EW12),武吉士地铁,"[""DT14"", ""Bugis MRT""]",onemap,venue,1.30046508509717,103.855706730933
PROMENADE MRT STATION (CC4),宝门廊地铁,"[""DT15"", ""Promenade MRT""]",onemap,venue,1.29399798636232,103.860350000188
BAYFRONT MRT STATION (DT16 / CE1),海湾舫地铁,"[""DT16"", ""Bayfront MRT""]",onemap,venue,1.28187378879209,103.859079764874
DOWNTOWN MRT STATION (DT17),市中心地铁,"[""DT17"", ""Downtown MRT""]",onemap,venue,1.27944638178916,103.852840829581
TELOK AYER MRT STATION (DT18),直落亚逸地铁,"[""DT18"", ""Telok Ayer MRT""]",onemap,venue,1.28206894769394,103.848648781083
CHINATOWN MRT STATION (DT19),牛车水地铁,"[""DT19"", ""Chinatown MRT""]",onemap,venue,1.28422391919085,103.845143798953
FORT CANNING MRT STATION (DT20),福康宁地铁,"[""DT20"", ""Fort Canning MRT""]",onemap,venue,1.29248194822996,103.844331362465
BENCOOLEN MRT STATION (DT21),明古连地铁,"[""DT21"", ""Bencoolen MRT""]",onemap,venue,1.29891843369422,103.850353762717
JALAN BESAR MRT STATION (DT22),惹兰勿刹地铁,"[""DT22"", ""Jalan Besar MRT""]",onemap,venue,1.3051713878069,103.855295713435
BENDEMEER MRT STATION (DT23),明地迷亚地铁,"[""DT23"", ""Bendemeer MRT""]",onemap,venue,1.31367252847691,103.862977620945
GEYLANG BAHRU MRT STATION (DT24),芽笼峇鲁地铁,"[""DT24"", ""Geylang Bahru MRT""]",onemap,venue,1.32130110228321,103.871622627142
MATTAR MRT STATION (DT25),玛达地铁,"[""DT25"", ""Mattar MRT""]",onemap,venue,1.32687671501334,103.883247509542
MACPHERSON MRT STATION (DT26),麦波申地铁,"[""DT26"", ""MacPherson MRT""]",onemap,venue,1.32615024457361,103.889298600376
